,QTY,AMB supplier ,Failed units 
0,400.0,Ferrotec,5.0
1,400.0,Ferrotec,4.0
2,400.0,Ferrotec,5.0
3,400.0,Ferrotec,17.0
4,400.0,Rogers,4.0
5,508.0,Ferrotec,3.0
6,400.0,Ferrotec,1.0
7,200.0,Rogers,12.0
8,619.0,Ferrotec,24.0
9,400.0,Ferrotec,7.0
10,6595.0,Rogers,2.0
11,400.0,Rogers,2.0
12,400.0,Ferrotec,1.0
13,400.0,Rogers,2.0
14,400.0,Rogers,1.0
15,400.0,Ferrotec,3.0
16,400.0,Ferrotec,13.0
17,400.0,Ferrotec,2.0
18,400.0,Rogers,1.0
19,400.0,Ferrotec,3.0
20,400.0,Ferrotec,1.0
21,400.0,Ferrotec,13.0
22,400.0,Ferrotec,3.0
23,400.0,Ferrotec,10.0
24,400.0,Ferrotec,1.0
25,400.0,Ferrotec,5.0
26,322.0,Ferrotec,1.0
27,400.0,Ferrotec,1.0
28,400.0,Ferrotec,1.0
29,400.0,Rogers,13.0
30,400.0,Rogers,2.0
31,200.0,Ferrotec,3.0
32,400.0,Ferrotec,1.0
33,400.0,Ferrotec,1.0
34,400.0,Ferrotec,4.0
35,400.0,Ferrotec,17.0
36,400.0,Ferrotec,6.0
37,400.0,Rogers,1.0
38,6171.0,Ferrotec,1.0
39,400.0,Ferrotec,12.0
40,400.0,Ferrotec,2.0
41,400.0,Ferrotec,6.0
42,400.0,Ferrotec,2.0
43,400.0,Ferrotec,12.0
44,400.0,Ferrotec,19.0
45,400.0,Ferrotec,12.0
46,7800.0,Ferrotec,13.0
47,400.0,Ferrotec,6.0
48,400.0,Ferrotec,13.0
49,400.0,Ferrotec,6.0
50,400.0,Ferrotec,3.0
51,400.0,Rogers,1.0
52,400.0,Ferrotec,8.0
53,400.0,Rogers,1.0
54,400.0,Ferrotec,4.0
55,400.0,Rogers,4.0
56,400.0,Ferrotec,24.0
57,400.0,Ferrotec,1.0
58,400.0,Rogers,1.0
59,400.0,Rogers,2.0
60,400.0,Ferrotec,2.0
61,400.0,Ferrotec,1.0
62,400.0,Rogers,1.0
63,400.0,Ferrotec,13.0
64,419.0,Ferrotec,1.0
65,400.0,Rogers,12.0
66,200.0,Ferrotec,18.0
67,400.0,Rogers,7.0
68,400.0,Ferrotec,14.0
69,400.0,Ferrotec,1.0
70,400.0,Ferrotec,7.0
71,400.0,Ferrotec,6.0
72,400.0,Ferrotec,6.0
73,400.0,Ferrotec,18.0
74,400.0,Ferrotec,1.0
75,400.0,Ferrotec,16.0
76,400.0,Ferrotec,2.0
77,400.0,Ferrotec,17.0
78,400.0,Ferrotec,10.0
79,400.0,Ferrotec,10.0
80,280.0,Ferrotec,6.0
81,400.0,Ferrotec,18.0
82,10702.0,Ferrotec,2.0
83,400.0,Ferrotec,20.0
84,400.0,Ferrotec,17.0
85,200.0,Ferrotec,5.0
86,400.0,Ferrotec,5.0
87,400.0,Ferrotec,12.0
88,400.0,Ferrotec,7.0
89,400.0,Ferrotec,11.0
90,400.0,Ferrotec,5.0
91,400.0,Ferrotec,8.0
92,400.0,Ferrotec,8.0
93,400.0,Ferrotec,15.0
94,400.0,Ferrotec,11.0
95,400.0,Ferrotec,1.0
96,400.0,Ferrotec,7.0
97,190.0,Ferrotec,1.0
98,400.0,Ferrotec,8.0
99,240.0,Ferrotec,5.0
100,400.0,Ferrotec,9.0
101,9462.0,Ferrotec,1.0
102,400.0,Ferrotec,2.0
103,400.0,Ferrotec,8.0
104,400.0,Ferrotec,8.0
105,400.0,Ferrotec,7.0
106,400.0,Ferrotec,1.0
107,400.0,Ferrotec,2.0
108,400.0,Rogers,1.0
109,400.0,Ferrotec,1.0
110,6487.0,Rogers,1.0
111,400.0,Ferrotec,6.0
112,400.0,Ferrotec,6.0
113,400.0,Ferrotec,18.0
114,400.0,Ferrotec,3.0
115,400.0,Ferrotec,12.0
116,400.0,Ferrotec,20.0
117,6718.0,Rogers,1.0
118,400.0,Rogers,7.0
119,400.0,Rogers,1.0
120,400.0,Ferrotec,1.0
121,400.0,Rogers,2.0
122,200.0,Ferrotec,6.0
123,400.0,Ferrotec,3.0
124,7052.0,Rogers,6.0
125,400.0,Rogers,1.0
126,7296.0,Ferrotec,3.0
127,400.0,Rogers,13.0
128,400.0,Ferrotec,5.0
129,400.0,Ferrotec,9.0
130,400.0,Ferrotec,1.0
131,400.0,Ferrotec,12.0
